,2023,2022,2021,2020,2019,2018,2017
Total Assets,350000000000,330000000000,310000000000,290000000000,270000000000,250000000000,230000000000
Total Liab,280000000000,260000000000,240000000000,220000000000,200000000000,180000000000,160000000000
Total Stockholder Equity,70000000000,70000000000,70000000000,70000000000,70000000000,70000000000,70000000000
Cash And Cash Equivalents,50000000000,45000000000,40000000000,35000000000,30000000000,25000000000,20000000000
Short Term Investments,20000000000,18000000000,16000000000,14000000000,12000000000,10000000000,8000000000
Property Plant And Equipment Gross,150000000000,140000000000,130000000000,120000000000,110000000000,100000000000,90000000000
Property Plant And Equipment Net,100000000000,95000000000,90000000000,85000000000,80000000000,75000000000,70000000000
Net Tangible Assets,80000000000,75000000000,70000000000,65000000000,60000000000,55000000000,50000000000
Total Debt,60000000000,55000000000,50000000000,45000000000,40000000000,35000000000,30000000000
Short Long Term Debt,30000000000,28000000000,26000000000,24000000000,22000000000,20000000000,18000000000
Long Term Debt,10000000000,9000000000,8000000000,7000000000,6000000000,5000000000,4000000000
Preferred Stock,0,0,0,0,0,0,0 
