,2023,2022,2021,2020,2019,2018,2017
Total Revenue,380000000000,360000000000,340000000000,320000000000,300000000000,280000000000,260000000000
Cost Of Revenue,200000000000,190000000000,180000000000,170000000000,160000000000,150000000000,140000000000
Operating Income,120000000000,110000000000,100000000000,90000000000,80000000000,70000000000,60000000000
Interest Expense,5000000000,4000000000,3000000000,2000000000,2000000000,2000000000,2000000000
Pretax Income,115000000000,106000000000,97000000000,88000000000,78000000000,68000000000,58000000000
Tax Provision,25000000000,23000000000,20000000000,18000000000,16000000000,14000000000,12000000000
Net Income,90000000000,83000000000,77000000000,70000000000,62000000000,54000000000,46000000000
Depreciation And Amortization,12000000000,11000000000,10000000000,9000000000,8000000000,7000000000,6000000000
Research And Development,30000000000,28000000000,25000000000,22000000000,20000000000,18000000000,16000000000
Selling General And Administration,60000000000,55000000000,50000000000,45000000000,40000000000,35000000000,30000000000 
