,2023,2022,2021,2020,2019,2018,2017
Total Assets,350000000000.0,330000000000.0,310000000000.0,290000000000.0,270000000000.0,250000000000.0,230000000000.0
Total Liab,280000000000.0,260000000000.0,240000000000.0,220000000000.0,200000000000.0,180000000000.0,160000000000.0
Total Stockholder Equity,70000000000.0,70000000000.0,70000000000.0,70000000000.0,70000000000.0,70000000000.0,70000000000.0
Cash And Cash Equivalents,50000000000.0,45000000000.0,40000000000.0,35000000000.0,30000000000.0,25000000000.0,20000000000.0
Short Term Investments,20000000000.0,18000000000.0,16000000000.0,14000000000.0,12000000000.0,10000000000.0,8000000000.0
Property Plant And Equipment Gross,150000000000.0,140000000000.0,130000000000.0,120000000000.0,110000000000.0,100000000000.0,90000000000.0
Property Plant And Equipment Net,100000000000.0,95000000000.0,90000000000.0,85000000000.0,80000000000.0,75000000000.0,70000000000.0
Net Tangible Assets,80000000000.0,75000000000.0,70000000000.0,65000000000.0,60000000000.0,55000000000.0,50000000000.0
Total Debt,60000000000.0,55000000000.0,50000000000.0,45000000000.0,40000000000.0,35000000000.0,30000000000.0
Short Long Term Debt,30000000000.0,28000000000.0,26000000000.0,24000000000.0,22000000000.0,20000000000.0,18000000000.0
Long Term Debt,10000000000.0,9000000000.0,8000000000.0,7000000000.0,6000000000.0,5000000000.0,4000000000.0
Preferred Stock,0.0,0.0,0.0,0.0,0.0,0.0,0.0
